User_ID,Product_ID,Gender,Age Group,Age,Marital_Status,State,Zone,Occupation,Product_Category,Orders,Amount,Status,unnamed1
1002903,P00125942,F,26-35,28,0,Maharashtra,Western,Healthcare,Gift Card,1,23952.0,,
1000732,P00110942,F,26-35,35,1,AndhraÂ Pradesh,Southern,Govt,Gift Card,3,23934.0,,
1001990,P00118542,F,26-35,35,1,Uttar Pradesh,Central,Automobile,Gift Card,3,23924.0,,
1001425,P00237842,M,0-17,16,0,Karnataka,Southern,Construction,Gift Card,2,23912.0,,
1000588,P00057942,M,26-35,28,1,Gujarat,Western,Food Processing,Gift Card,2,23877.0,,
1000588,P00057942,M,26-35,28,1,Himachal Pradesh,Northern,Food Processing,Gift Card,1,23877.0,,
1001132,P00018042,F,18-25,25,1,Uttar Pradesh,Central,Lawyer,Gift Card,4,23841.0,,
1002092,P00273442,F,55+,61,0,Maharashtra,Western,IT Sector,Gift Card,1,,,
1003224,P00205642,M,26-35,35,0,Uttar Pradesh,Central,Govt,Gift Card,2,23809.0,,
1003650,P00031142,F,26-35,26,1,AndhraÂ Pradesh,Southern,Media,Gift Card,4,23799.99,,
1003829,P00200842,M,26-35,34,0,Delhi,Central,Banking,Gift Card,1,23770.0,,
1000214,P00119142,F,18-25,20,0,AndhraÂ Pradesh,Southern,Retail,Gift Card,2,23752.0,,
1004035,P00080342,F,18-25,20,1,AndhraÂ Pradesh,Southern,IT Sector,Gift Card,2,23730.0,,
1001680,P00324942,M,26-35,26,1,AndhraÂ Pradesh,Southern,Automobile,Gift Card,4,23718.0,,
1003858,P00293742,M,46-50,46,1,Madhya Pradesh,Central,Hospitality,Gift Card,3,,,
1000813,P00289942,F,18-25,24,0,AndhraÂ Pradesh,Southern,Govt,Gift Card,2,23664.0,,
1005447,P00275642,F,46-50,48,1,AndhraÂ Pradesh,Southern,IT Sector,Gift Card,3,,,
1001193,P00004842,F,26-35,29,0,AndhraÂ Pradesh,Southern,Aviation,Gift Card,1,23619.0,,
1001883,P00029842,M,51-55,54,1,Uttar Pradesh,Central,Hospitality,Gift Card,1,23568.0,,
1001883,P00029842,M,51-55,54,1,Uttar Pradesh,Central,Hospitality,Gift Card,1,23568.0,,
1000113,P00180642,F,18-25,19,1,AndhraÂ Pradesh,Southern,Govt,Gift Card,4,23546.0,,
1000416,P00181842,F,46-50,46,1,Uttar Pradesh,Central,Banking,Gift Card,2,23525.0,,
1005256,P00101742,F,26-35,30,0,AndhraÂ Pradesh,Southern,IT Sector,Gift Card,1,23518.0,,
1001505,P00271842,F,51-55,53,0,Uttar Pradesh,Central,Automobile,Gift Card,2,23515.0,,
1000900,P00317842,M,55+,83,0,Karnataka,Southern,Automobile,Gift Card,3,23513.0,,
1005908,P00282642,F,26-35,33,0,AndhraÂ Pradesh,Southern,IT Sector,Gift Card,3,23462.0,,
1001101,P00234742,F,36-45,40,0,Uttar Pradesh,Central,Banking,Gift Card,3,23456.0,,
1004736,P00058042,F,18-25,25,1,AndhraÂ Pradesh,Southern,Banking,Gift Card,4,23451.0,,
1004037,P00190542,M,51-55,54,1,AndhraÂ Pradesh,Southern,Govt,Hand & Power Tools,2,23434.0,,
1002340,P00119642,F,36-45,39,1,AndhraÂ Pradesh,Southern,Aviation,Gift Card,3,23389.0,,
1005664,P00111642,F,18-25,20,0,AndhraÂ Pradesh,Southern,Aviation,Gift Card,2,23365.0,,
1002523,P00293342,F,26-35,32,1,AndhraÂ Pradesh,Southern,Food Processing,Gift Card,3,23326.0,,
1002503,P00220042,F,36-45,36,0,AndhraÂ Pradesh,Southern,Automobile,Gift Card,2,23314.0,,
1002638,P00346242,F,26-35,35,1,Maharashtra,Western,Media,Gift Card,2,23306.0,,
1004505,P00080042,F,51-55,55,1,AndhraÂ Pradesh,Southern,Healthcare,Gift Card,4,23302.0,,
1004957,P00111842,M,26-35,27,1,Jharkhand,Eastern,Govt,Gift Card,1,23285.0,,
1005649,P00238542,M,18-25,20,1,Delhi,Central,Media,Gift Card,1,23281.0,,
1004508,P00048742,F,26-35,32,0,AndhraÂ Pradesh,Southern,Aviation,Gift Card,1,23270.0,,
1002520,P00310342,M,55+,72,1,Himachal Pradesh,Northern,Media,Gift Card,4,23267.0,,
1003111,P00249542,F,18-25,25,1,AndhraÂ Pradesh,Southern,Banking,Gift Card,4,23252.0,,
1000687,P00156442,M,26-35,35,0,Kerala,Southern,Aviation,Gift Card,1,23247.0,,
1003267,P00144242,M,26-35,30,1,Uttar Pradesh,Central,Banking,Hand & Power Tools,2,23246.0,,
1001182,P00122442,M,0-17,16,0,AndhraÂ Pradesh,Southern,Food Processing,Gift Card,4,23239.0,,
1005383,P0096942,F,36-45,40,0,AndhraÂ Pradesh,Southern,Aviation,Gift Card,2,23201.0,,
1004303,P00201442,F,26-35,35,1,AndhraÂ Pradesh,Southern,Aviation,Gift Card,2,23185.0,,
1005493,P00036242,M,36-45,45,1,AndhraÂ Pradesh,Southern,Agriculture,Hand & Power Tools,3,23160.0,,
1000728,P00113942,F,26-35,28,0,AndhraÂ Pradesh,Southern,Banking,Gift Card,1,23154.0,,
1002966,P00121642,M,26-35,32,1,Delhi,Central,Construction,Gift Card,3,23103.0,,
1001726,P00105042,F,26-35,32,0,AndhraÂ Pradesh,Southern,Retail,Gift Card,4,23066.0,,
1001404,P00141842,F,51-55,53,0,AndhraÂ Pradesh,Southern,IT Sector,Gift Card,2,23053.0,,
